courseId	semester	crn	title	instructor
RDG095	201910	10821	Reading Skills Improvement	Anderson, C
RDG095	201910	14256	Reading Skills Improvement	Nelson, N
RDG095	201910	10823	Reading Skills Improvement	Staff
RDG095	201910	10827	Reading Skills Improvement	Anderson, C
RDG095	201910	10825	Reading Skills Improvement	Evans, P
RDG095	201910	10826	Reading Skills Improvement	Evans, P
RDG095	201910	14257	Reading Skills Improvement	Nelson, N
RDG095	201910	12763	Reading Skills Improvement	Staff
RDG095	201910	10829	Reading Skills Improvement	Anderson, C
RDG095	201910	14258	Reading Skills Improvement	Nelson, N
RDG095	201910	10833	Reading Skills Improvement	Sexton, S
RDG095	201910	10834	Reading Skills Improvement	Sexton, S
RDG095	201910	11709	Reading Skills Improvement	Voigt, B
UNV101	201910	14030	Foundations of Univ Experience	Staff
UNV101	201910	11547	Foundations of Univ Experience	Staff
UNV101	201910	11548	Foundations of Univ Experience	Staff
UNV101	201910	11561	Foundations of Univ Experience	Academic Advising Center, S
UNV101	201910	11555	Foundations of Univ Experience	Staff
UNV101	201910	11551	Foundations of Univ Experience	Godboldt, S
UNV101	201910	11552	Foundations of Univ Experience	Staff
UNV101	201910	11553	Foundations of Univ Experience	Staff
UNV101	201910	11554	Foundations of Univ Experience	Staff
UNV101	201910	12876	Foundations of Univ Experience	Staff
UNV101	201910	11556	Foundations of Univ Experience	Staff
UNV101	201910	11557	Foundations of Univ Experience	Staff
UNV101	201910	12461	Foundations of Univ Experience	Staff
UNV101	201910	11560	Foundations of Univ Experience	Staff
UNV101	201910	11559	Foundations of Univ Experience	Staff
UNV101	201910	11600	Foundations of Univ Experience	Staff
UNV101	201910	11603	Foundations of Univ Experience	Staff
UNV101	201910	12459	Foundations of Univ Experience	Staff
UNV101	201910	11546	Foundations of Univ Experience	Staff
UNV101	201910	12472	Foundations of Univ Experience	Staff
UNV101	201910	12878	Foundations of Univ Experience	Staff
UNV101	201910	13691	Foundations of Univ Experience	Staff
UNV198	201910	14897	The University Experience	Ducey, M
UNV198	201910	14928	The University Experience	Britton, P
UNV198	201910	14949	The University Experience	Kendall-Morwick, J
UNV198	201910	14955	The University Experience	Thorne Wallington, E
UNV198	201910	14950	The University Experience	Kovacs, M
UNV198	201910	14956	The University Experience	Moore, W
UNV198	201910	14929	The University Experience	Hanson, S
UNV198	201910	14946	The University Experience	Waggoner, C
UNV198	201910	14947	The University Experience	Waggoner, C
UNV198	201910	14952	The University Experience	Jackson, J
UNV198	201910	14953	The University Experience	Atkinson, J
UNV198	201910	14959	The University Experience	Collins Keller, A
UNV198	201910	14960	The University Experience	Stewart, S
ART100	201910	10035	Introduction to Art	Katsanou, V
ART100	201910	11879	Introduction to Art	Katsanou, V
ART100	201910	11880	Introduction to Art	Reeber, S
ART100	201910	13710	Introduction to Art	Brooks, B
ART110	201910	10038	Beginning Drawing I	Volkan, A
ART110	201910	10039	Beginning Drawing I	Volkan, A
ART110	201910	10040	Beginning Drawing I	Christgen, V
ART110	201910	11903	Beginning Drawing I	Reeber, S
ART120	201910	10041	Two-Dimensional Design	Christgen, V
ART120	201910	10042	Two-Dimensional Design	Fuson, E
ART120	201910	11544	Two-Dimensional Design	Christgen, V
ART130	201910	10043	Intro to Tools and Techniques	Scroggs, M
ART130	201910	10044	Intro to Tools and Techniques	Alvarez, R
ART130	201910	11677	Intro to Tools and Techniques	Alvarez, R
ART140	201910	10045	Ceramics I	Harris, D
ART140	201910	14434	Ceramics I	Harris, D
ART160	201910	10047	Beginning Drawing II	Liao, K
ART170	201910	10048	Three-Dimensional Design	Fuson, E
ART205	201910	10049	Survey of Art History I	Rislow, M
ART210	201910	11634	Animation Fundamentals	Hriso, P
ART229	201910	10429	Design Software Applications	Hepworth, M
ART229	201910	14433	Design Software Applications	Britton, P
ART255	201910	13979	Survey of Art History II	Rislow, M
ART257	201910	12634	Theory and Criticism Visl Cul	Rislow, M
ART300	201910	14409	Elem Art Teaching: Phl and Mth	Wood, D
ART310	201910	10056	Intermediate Drawing	Christgen, V
ART310	201910	10056	Intermediate Drawing	Christgen, V
ART315	201910	13390	Illustration I	Hepworth, M
ART320	201910	10057	Ceramics II	Harris, D
ART321	201910	12768	Digital 3D Modeling	Hriso, P
ART326	201910	14692	Introduction to Game Design	Britton, P
ART329	201910	10059	Graphic Design I	Harris, T
ART333	201910	10060	Typography	Harris, T
ART339	201910	10062	Printmaking I	Liao, K
